data_base,faixa,carteira_ativa,carteira_inadimplida_arrastada,numero_de_operacoes,ticket_medio
2013-07-01,Faixa3,56526816352.17,735686045.41,633498,89229.66821074414
2013-07-01,Sem Renda,1523325630.73,26503955.37,20226,75315.21955552259
2013-07-01,alta,121705934464.06,1197154691.78,712612,170788.49986256196
2013-07-01,indisponivel,516824727.88,15432687.92,10732,48157.354442787924
2013-08-01,Faixa1,68986996946.57,1266727910.67,1581388,43624.333146938014
2013-08-01,Faixa2,48133232785.79,840964016.91,756080,63661.56066261507
2013-08-01,Faixa3,58281062281.89,784270576.74,648417,89882.07015221685
2013-08-01,Sem Renda,1510458998.96,29624688.97,18759,80519.1640791087
2013-08-01,alta,125595281901.12,1187617562.44,729158,172247.00531451346
2013-08-01,indisponivel,506748857.9,14777957.82,10389,48777.4432476658
2013-09-01,Faixa1,72048467461.54,1410705466.64,1605047,44888.69638181311
2013-09-01,Faixa2,48630867443.35,935389662.33,758174,64142.09329698723
2013-09-01,Faixa3,58318581267.35,874477211.67,642538,90762.85179608055
2013-09-01,Sem Renda,1529633616.59,35020593.2,19366,78985.52187286997
2013-09-01,alta,126861197845.3,1341566412.86,727982,174264.19588025528
2013-09-01,indisponivel,499540359.32,13208816.62,10139,49269.194133543744
2013-10-01,Faixa1,75762099542.89,1498557578.66,1637545,46265.659595852325
2013-10-01,Faixa2,49223798491.88,985309012.5400001,762663,64542.004124862484
2013-10-01,Faixa3,58651523155.69,913525095.22,645522,90859.06158998454
2013-10-01,Sem Renda,1457162658.83,31979514.76,18430,79064.71290450353
2013-10-01,alta,125262065512.1,1433302211.9,726526,172412.36447436156
2013-10-01,indisponivel,491306750.56,13778097.54,9797,50148.69353475554
2013-11-01,Faixa1,79515615108.1,1439296720.56,1669635,47624.54974176991
2013-11-01,Faixa2,49720738936.42,954849703.48,766168,64895.34793468273
2013-11-01,Faixa3,59403602037.76,922958211.25,649331,91484.31545353602
2013-11-01,Sem Renda,2846719407.17,40114680.68,27468,103637.6659083297
2013-11-01,alta,126524655814.56,1497419691.13,730342,173240.28443463473
2013-11-01,indisponivel,482213141.58,14719691.94,9458,50984.68403256502
2013-12-01,Faixa1,84054144546.38,1234385490.35,1703018,49355.9930349415
2013-12-01,Faixa2,50154147339.61,798111919.99,766825,65404.94550857106
2013-12-01,Faixa3,59918174267.86,835861058.54,650063,92172.87288748937
2013-12-01,Sem Renda,3031872315.46,43439282.3,29103,104177.31214857574
2013-12-01,alta,128092481664.62,1445191525.33,732650,174834.47985343615
2013-12-01,indisponivel,474570061.64,14107715.3,9185,51667.943564507346
2014-01-01,Faixa1,88080372787.88,1339012165.51,1733531,50809.80541327499
2014-01-01,Faixa2,50776994786.43,870766218.03,770843,65872.03203042643
2014-01-01,Faixa3,61100310612.27,895497298.86,656506,93068.92947249529
2014-01-01,Sem Renda,1070382616.09,28595092.98,15349,69736.30960257998
2014-01-01,alta,130542884267.32,1553330476.25,741553,176039.8572554086
2014-01-01,indisponivel,466432204.61,14160674.64,8959,52062.976293113075
2014-02-01,Faixa1,82371332336.72,1719567281.55,1677438,49105.44075949156
2014-02-01,Faixa2,50433589697.7,873325109.92,737082,68423.30934373652
2014-02-01,Faixa3,71284215921.64,1041325201.15,731263,97480.9554450861
2014-02-01,Sem Renda,6856660934.4800005,152375614.14,109290,62738.22796669412
2014-02-01,alta,127449985349.64,1376756618.98,705331,180695.28398672395
2014-02-01,indisponivel,451955654.44,12941688.34,8644,52285.47598796853
2014-03-01,Faixa1,94057335808.02,1914012866.38,1817781,51742.94142584833
2014-03-01,Faixa2,49991298286.65,847875652.11,732823,68217.42533551759
2014-03-01,Faixa3,71038508961.57,1053645619.22,730354,97265.85869533132
2014-03-01,Sem Renda,329292784.06,14569929.42,2893,113823.98342896647
2014-03-01,alta,129013131954.92,1446243555.95,717001,179934.38217648232
2014-03-01,indisponivel,445944729.97,12242040.09,8308,53676.54429104478
2014-04-01,Faixa1,98259736277.07,2212592647.37,1853456,53014.33445254163
2014-04-01,Faixa2,50710038928.14,988973686.0,737403,68768.41961334576
2014-04-01,Faixa3,72110100453.05,1192248788.39,735972,97979.40744084015
2014-04-01,Sem Renda,310375371.15,12729934.370000001,2807,110571.91704666903
2014-04-01,alta,129742625944.05,1586536719.03,717018,180947.51588391088
2014-04-01,indisponivel,438730988.31,15732071.56,8042,54554.95999875653
2014-05-01,Faixa1,96726365179.46,2269008493.09,1845660,52407.46680291062
2014-05-01,Faixa2,52054176352.98,946195286.8,753954,69041.58125426751
2014-05-01,Faixa3,74709357865.4,1126683644.84,757060,98683.53613372783
2014-05-01,Sem Renda,309728883.95,15308370.37,2754,112465.0994734931
2014-05-01,alta,135780491163.79001,1562158271.06,740943,183253.6256686277
2014-05-01,indisponivel,432986057.85,16463918.0,7753,55847.55034825229
2014-06-01,Faixa1,99724303492.77,1974579889.8899999,1874789,53192.28110084389
2014-06-01,Faixa2,52970507503.83,849730444.55,762265,69490.93491611186
2014-06-01,Faixa3,75936794223.34,1031130776.68,765899,99147.26905680775
2014-06-01,Sem Renda,313562042.48,19711419.69,2709,115748.26226651901
2014-06-01,alta,138490397819.48,1500772655.44,753468,183803.95427474027
2014-06-01,indisponivel,425815397.21,13889108.51,7490,56851.18787850467
2014-07-01,Faixa1,97670803962.75,2011698793.97,1846650,52890.8044094712
2014-07-01,Faixa2,54393521474.58,909740411.52,781526,69599.11951052172
2014-07-01,Faixa3,78175275656.32,1111316127.15,790168,98935.00579157851
2014-07-01,Sem Renda,335326131.22,16772393.78,2760,121494.97507971016
2014-07-01,alta,145110879915.42,1623129189.0,789384,183827.99742003894
2014-07-01,indisponivel,418248959.28,12176525.19,7201,58082.06627968337
2014-08-01,Faixa1,89674284517.06,1821889259.98,1705873,52567.97224474506
2014-08-01,Faixa2,55093517787.57,926427187.39,780867,70554.29130385841
2014-08-01,Faixa3,79010731531.77,1113840030.1,785693,100561.83717020517
2014-08-01,Sem Renda,14836651088.64,321044990.77,210546,70467.50395941979
2014-08-01,alta,147611614648.7,1669742147.37,784628,188129.4252164083
2014-08-01,indisponivel,412003806.45,10799047.01,6981,59017.878018908465
2014-09-01,Faixa1,106166466442.22,2203944146.85,1927538,55078.792969176226
2014-09-01,Faixa2,55879442297.170006,935684632.11,786503,71047.9709513759
2014-09-01,Faixa3,79620895181.77,1047023891.81,785269,101393.14703849255
2014-09-01,Sem Renda,392115615.3,15942374.879999999,3229,121435.61947971508
2014-09-01,alta,149993415500.75,1508893952.82,789686,189940.57828143085
2014-09-01,indisponivel,406795194.67,12018008.09,6750,60265.954765925926
2014-10-01,Faixa1,110618634704.33,2588978141.96,1965887,56269.070757541
2014-10-01,Faixa2,56790325610.11,1111021452.78,791921,71712.10968027114
2014-10-01,Faixa3,80910414514.78,1221988763.8799999,791864,102177.1598592435
2014-10-01,Sem Renda,356684686.71999997,14866394.45,3161,112839.1922556153
2014-10-01,alta,152588496831.24,1705950351.99,797833,191253.67944324188
2014-10-01,indisponivel,401467919.41,11465357.44,6520,61574.83426533743
2014-11-01,Faixa1,114738256316.41,2489030744.81,2003181,57278.02745553697
2014-11-01,Faixa2,57303410153.2,1061455783.67,795250,72057.10173303992
2014-11-01,Faixa3,81998328646.08,1183962406.6299999,796672,102926.08331418702
2014-11-01,Sem Renda,379984731.01,19286549.44,3337,113870.16212466286
2014-11-01,alta,155074701919.24,1723893004.43,806122,192371.25635975695
2014-11-01,indisponivel,396731324.12,11087712.67,6352,62457.70215994962
2014-12-01,Faixa1,119715842988.62,2042078553.71,2045604,58523.46934627621
2014-12-01,Faixa2,58072326314.65,864231840.72,799832,72605.65508087949
2014-12-01,Faixa3,83021978423.14,1006493351.27,800899,103660.98399815707
2014-12-01,Sem Renda,385309320.45,18586377.94,3330,115708.50463963964
2014-12-01,alta,156802677644.77,1529952315.91,811454,193236.6808774989
2014-12-01,indisponivel,390781779.82,9269714.94,6153,63510.77195189338
2015-01-01,Faixa1,125051083864.31,2415519534.64,2092808,59752.77419825899
2015-01-01,Faixa2,58705842558.840004,999181758.03,801910,73207.52024396753
2015-01-01,Faixa3,84666571371.47,1184255303.6,808298,104746.72877016892
2015-01-01,Sem Renda,963018414.34,22895299.71,5496,175221.69110989812
2015-01-01,alta,156119000659.44,1820486237.24,802489,194543.47743014546
2015-01-01,indisponivel,384425239.22,7425967.8100000005,5973,64360.49543278085
2015-02-01,Faixa1,128442895745.18001,2659039317.1,2124396,60460.90076670263
2015-02-01,Faixa2,59115900534.13,1089044053.53,804469,73484.37358571927
2015-02-01,Faixa3,85334310609.68001,1277909185.49,810863,105238.87587629477
2015-02-01,Sem Renda,964684621.97,25191503.52,5517,174856.7377143375
2015-02-01,alta,156592784252.94,2032659574.68,802451,195143.11061104044
2015-02-01,indisponivel,380934661.28,7844754.69,5789,65803.18902746588
2015-03-01,Faixa1,133339455704.99,2509841577.11,2165152,61584.33943898165
2015-03-01,Faixa2,59763280579.04,1008424633.43,807274,74030.97409186968
2015-03-01,Faixa3,86204742849.04,1218840964.98,813952,105908.87773362556
2015-03-01,Sem Renda,878279668.16,24736280.14,5039,174296.42154395714
2015-03-01,alta,157952082684.73,2049841383.69,805719,196038.6719001662
2015-03-01,indisponivel,377389295.86,7615975.079999999,5628,67055.6673525231
2015-04-01,Faixa1,127264696899.93,2934364034.25,2171106,58617.44976980856
2015-04-01,Faixa2,63261402189.47,1103354482.18,833232,75922.91485381023
2015-04-01,Faixa3,90380251582.74,1298346384.53,825871,109436.28191659473
2015-04-01,Sem Renda,879466581.85,27570660.07,5118,171837.9409632669
2015-04-01,alta,164453614994.84,2126575835.55,816338,201452.8479561652
2015-04-01,indisponivel,374230805.72,7328343.4,5476,68340.17635500366
2015-05-01,Faixa1,126287997384.61,3028277963.4,2169747,58204.01981641638
2015-05-01,Faixa2,64316492194.93,1165443800.83,844066,76198.41599463786
2015-05-01,Faixa3,91867283381.64,1391664713.76,837502,109692.0167135601
2015-05-01,Sem Renda,891889953.5799999,27892883.88,5255,169722.16052901998
2015-05-01,alta,168334131766.74,2238360914.9900002,833747,201900.73459543483
2015-05-01,indisponivel,371360087.79,7835982.42,5308,69962.33756405427
2015-06-01,Faixa1,129314928447.37,2654715850.2400002,2199929,58781.409967035295
2015-06-01,Faixa2,64851584487.42,1010206323.72,846977,76568.29463777646
2015-06-01,Faixa3,92430608352.82,1260044033.07,840067,110027.66249932446
2015-06-01,Sem Renda,935900457.25,29082269.39,5412,172930.60924796748
2015-06-01,alta,169672431423.31,2106248869.89,838158,202434.9006074153
2015-06-01,indisponivel,366797244.07,7022670.02,5161,71070.96378027514
2015-07-01,Faixa1,139993998305.55,2957423124.43,2347100,59645.519281475004
2015-07-01,Faixa2,62657233102.08,976811756.92,791775,79135.14963478262
2015-07-01,Faixa3,93384483809.23,1312114073.1,818972,114026.46709439394
2015-07-01,Sem Renda,2451426110.35,32309461.68,21971,111575.53640480633
2015-07-01,alta,164570225641.08,2189865290.34,793898,207293.9163986809
2015-07-01,indisponivel,364558632.96,5998444.51,5032,72448.05901430843
2015-08-01,Faixa1,133321591092.17,2797305028.78,2245175,59381.380557047894
2015-08-01,Faixa2,66571685619.09,1073662468.59,868854,76620.10604668908
2015-08-01,Faixa3,93499137201.19,1341170493.78,852461,109681.4249580802
2015-08-01,Sem Renda,1503427626.0,30630442.53,10396,144615.97018083878
