data_base,tcb,carteira_ativa,ano
2017-08-01,Não bancário,1794417820.9,2017
2017-09-01,Bancário,552534563796.32,2017
2017-09-01,Não bancário,1784986516.44,2017
2017-10-01,Bancário,554067448639.5,2017
2017-10-01,Não bancário,1779663273.05,2017
2017-11-01,Bancário,556469150516.54,2017
2017-11-01,Não bancário,1775647979.76,2017
2017-12-01,Bancário,558290287879.59,2017
2017-12-01,Cooperativas,1112897.19,2017
2017-12-01,Não bancário,1768532166.21,2017
2018-01-01,Bancário,560505912529.75,2018
2018-01-01,Cooperativas,2829626.56,2018
2018-01-01,Não bancário,1762439509.14,2018
2018-02-01,Bancário,562308301673.43,2018
2018-02-01,Cooperativas,5837937.02,2018
2018-02-01,Não bancário,1816763880.15,2018
2018-03-01,Bancário,564822124104.7,2018
2018-03-01,Cooperativas,8821478.38,2018
2018-03-01,Não bancário,1911800705.88,2018
2018-04-01,Bancário,567355013336.11,2018
2018-04-01,Cooperativas,11951341.0,2018
2018-04-01,Não bancário,1903562585.96,2018
2018-05-01,Bancário,570331557201.29,2018
2018-05-01,Cooperativas,19066568.26,2018
2018-05-01,Não bancário,1892797467.94,2018
2018-06-01,Bancário,573717765031.45,2018
2018-06-01,Cooperativas,32428881.05,2018
2018-06-01,Não bancário,1889779407.54,2018
2018-07-01,Bancário,576624628731.37,2018
2018-07-01,Cooperativas,41684692.99,2018
2018-07-01,Não bancário,1858943581.75,2018
2018-08-01,Bancário,580267734236.54,2018
2018-08-01,Cooperativas,50143408.1,2018
2018-08-01,Não bancário,1822591703.31,2018
2018-12-01,Bancário,594241777297.82,2018
2018-12-01,Cooperativas,84595004.41,2018
2018-12-01,Não bancário,1692613401.03,2018
2019-01-01,Bancário,593638073397.08,2019
2019-01-01,Cooperativas,88031551.32,2019
2019-01-01,Não bancário,1675990467.21,2019
2019-02-01,Bancário,597403775587.07,2019
2019-02-01,Cooperativas,91693329.99,2019
2019-02-01,Não bancário,1675617914.32,2019
2019-03-01,Bancário,600959931847.26,2019
2019-03-01,Cooperativas,96217266.85,2019
2019-03-01,Não bancário,1670230374.54,2019
2019-04-01,Bancário,603168427957.66,2019
2019-04-01,Cooperativas,105992535.09,2019
2019-04-01,Não bancário,1665000109.99,2019
2019-05-01,Bancário,605951725030.22,2019
2019-05-01,Cooperativas,113224003.02,2019
2019-05-01,Não bancário,1655962194.18,2019
2019-06-01,Bancário,609384111942.51,2019
2019-06-01,Cooperativas,124829684.17,2019
2019-06-01,Não bancário,1646306438.04,2019
2019-07-01,Bancário,613135056521.1,2019
2019-07-01,Cooperativas,132989966.9,2019
2019-07-01,Não bancário,1633973610.28,2019
2019-08-01,Bancário,614648501059.59,2019
2019-08-01,Cooperativas,140943492.8,2019
2019-08-01,Não bancário,1567026992.35,2019
2019-09-01,Bancário,620177975793.64,2019
2019-09-01,Cooperativas,150682803.57,2019
2019-09-01,Não bancário,2130800478.44,2019
2019-10-01,Bancário,624254399075.93,2019
2019-10-01,Cooperativas,159602263.71,2019
2019-10-01,Não bancário,2111902260.78,2019
2019-11-01,Bancário,630313745830.03,2019
2019-11-01,Cooperativas,167857550.3,2019
2019-11-01,Não bancário,2101034405.44,2019
2019-12-01,Bancário,634052616618.39,2019
2019-12-01,Cooperativas,182193720.78,2019
2019-12-01,Não bancário,2074487756.51,2019
2020-01-01,Bancário,635900480920.54,2020
2020-01-01,Cooperativas,190821696.3,2020
2020-01-01,Não bancário,2056579103.41,2020
2020-02-01,Bancário,639112353228.32,2020
2020-02-01,Cooperativas,199173134.39,2020
2020-02-01,Não bancário,2041655526.31,2020
2020-03-01,Bancário,643336554273.09,2020
2020-03-01,Cooperativas,208941899.16,2020
2020-03-01,Não bancário,2023512349.98,2020
2020-04-01,Bancário,649683831320.46,2020
2020-04-01,Cooperativas,274876791.73,2020
2020-04-01,Não bancário,2012240660.63,2020
2020-05-01,Bancário,655957657611.5,2020
2020-05-01,Cooperativas,282780863.66,2020
2020-05-01,Não bancário,1998616124.59,2020
2020-06-01,Bancário,662590052950.51,2020
2020-06-01,Cooperativas,298281434.13,2020
2020-06-01,Não bancário,1986622387.74,2020
2020-07-01,Bancário,669689168798.3099,2020
2020-07-01,Cooperativas,308271875.24,2020
2020-07-01,Não bancário,1965135803.21,2020
2020-08-01,Bancário,677808370754.48,2020
2020-08-01,Cooperativas,336979055.48,2020
2020-08-01,Não bancário,1946085066.57,2020
2020-09-01,Bancário,685483619058.45,2020
2020-09-01,Cooperativas,373212790.96,2020
2020-09-01,Não bancário,1926585385.3,2020
2020-10-01,Bancário,693860822385.01,2020
2020-10-01,Cooperativas,406530128.32,2020
2020-10-01,Não bancário,1912392658.8799999,2020
2020-11-01,Bancário,702038383694.85,2020
2020-11-01,Cooperativas,451806891.39,2020
2020-11-01,Não bancário,1897043609.49,2020
2020-12-01,Bancário,710776320706.7,2020
2020-12-01,Cooperativas,498072817.96,2020
2020-12-01,Não bancário,1890008279.47,2020
2021-01-01,Bancário,716376983047.29,2021
2021-01-01,Cooperativas,539934319.07,2021
2021-01-01,Não bancário,1874611473.85,2021
2021-02-01,Bancário,723705610544.24,2021
2021-02-01,Cooperativas,578555449.35,2021
2021-02-01,Não bancário,1859113519.83,2021
2021-03-01,Bancário,732885482422.49,2021
2021-03-01,Cooperativas,623078552.02,2021
2021-03-01,Não bancário,1829058049.59,2021
2021-04-01,Bancário,741505883895.64,2021
2021-04-01,Cooperativas,685949356.1800001,2021
2021-04-01,Não bancário,1821627996.54,2021
2021-05-01,Bancário,751092052768.25,2021
2021-05-01,Cooperativas,749134165.0600001,2021
2021-05-01,Não bancário,1818519034.56,2021
2021-06-01,Bancário,760451119190.6901,2021
2021-06-01,Cooperativas,802288135.35,2021
2021-06-01,Não bancário,1836215860.15,2021
2021-07-01,Bancário,769611662679.97,2021
2021-07-01,Cooperativas,835970637.9399999,2021
2021-07-01,Não bancário,2641586821.38,2021
2021-08-01,Bancário,780690140097.74,2021
2021-08-01,Cooperativas,901782659.76,2021
2021-08-01,Não bancário,2631531920.97,2021
2021-09-01,Bancário,790354849454.55,2021
2021-09-01,Cooperativas,953084884.39,2021
2021-09-01,Não bancário,2641958239.19,2021
2021-10-01,Bancário,799532401590.59,2021
2021-10-01,Cooperativas,999799089.02,2021
2021-10-01,Não bancário,2638272672.37,2021
2021-11-01,Bancário,808670983584.08,2021
2021-11-01,Cooperativas,1028799515.6,2021
2021-11-01,Não bancário,2639247869.74,2021
2021-12-01,Bancário,817763453666.8,2021
2021-12-01,Cooperativas,1078383479.37,2021
2021-12-01,Não bancário,2647596894.67,2021
2022-01-01,Bancário,824498281648.16,2022
2022-01-01,Cooperativas,1107324639.8700001,2022
2022-01-01,Não bancário,2663237843.83,2022
2022-02-01,Bancário,831009038653.09,2022
2022-02-01,Cooperativas,1132215259.08,2022
2022-02-01,Não bancário,2668233811.75,2022
2022-03-01,Bancário,837363619245.81,2022
2022-03-01,Cooperativas,1175242115.65,2022
2022-03-01,Não bancário,3328446031.8,2022
2022-04-01,Bancário,844701876748.39,2022
2022-04-01,Cooperativas,1195757921.09,2022
2022-04-01,Não bancário,3354958399.14,2022
2022-05-01,Bancário,853896416150.4,2022
2022-05-01,Cooperativas,1220372598.25,2022
2022-05-01,Não bancário,3401108863.62,2022
2022-06-01,Bancário,864389558216.98,2022
2022-06-01,Cooperativas,1244581010.07,2022
2022-06-01,Não bancário,3429026920.48,2022
2022-07-01,Bancário,875603960025.37,2022
2022-07-01,Cooperativas,1277159153.02,2022
2022-07-01,Não bancário,3456438296.17,2022
2022-08-01,Bancário,886089830545.17,2022
2022-08-01,Cooperativas,1306181189.49,2022
2022-08-01,Não bancário,4078917412.77,2022
2022-09-01,Bancário,896745638852.37,2022
2022-09-01,Cooperativas,1331208622.22,2022
2022-09-01,Não bancário,4087503921.93,2022
2022-10-01,Bancário,906766566231.47,2022
2022-10-01,Cooperativas,1352637100.69,2022
2022-10-01,Não bancário,4086894714.42,2022
2022-11-01,Bancário,916361664396.79,2022
2022-11-01,Cooperativas,1378480137.66,2022
2022-11-01,Não bancário,4100113567.26,2022
2022-12-01,Bancário,925837746296.25,2022
2022-12-01,Cooperativas,1376432312.2,2022
2022-12-01,Não bancário,4122533529.99,2022
2023-01-01,Bancário,933354188926.85,2023
2023-01-01,Cooperativas,1442079080.53,2023
2023-01-01,Não bancário,4146104232.13,2023
2023-02-01,Bancário,940298659632.65,2023
2023-02-01,Cooperativas,1470772763.13,2023
2023-02-01,Não bancário,4173568590.25,2023
2023-03-01,Bancário,950946905527.93,2023
2023-03-01,Cooperativas,1510371405.74,2023
2023-03-01,Não bancário,4704461568.92,2023
2023-04-01,Bancário,959649796542.18,2023
2023-04-01,Cooperativas,1544271078.53,2023
2023-04-01,Não bancário,4735271871.42,2023
2023-05-01,Bancário,968753440918.04,2023
2023-05-01,Cooperativas,1583407447.07,2023
2023-05-01,Não bancário,4767037451.94,2023
2023-06-01,Bancário,977439070809.88,2023
2023-06-01,Cooperativas,1637343698.81,2023
2023-06-01,Não bancário,4781977612.93,2023
2023-07-01,Bancário,986428703777.44,2023
2023-07-01,Cooperativas,1678394458.58,2023
2023-07-01,Não bancário,4776143569.67,2023
2023-08-01,Bancário,995684367711.38,2023
2023-08-01,Cooperativas,1729587606.39,2023
2023-08-01,Não bancário,4770806857.15,2023
2023-09-01,Bancário,1006393422345.98,2023
