Data,contabil_bndu_imobiliario_br,contabil_financiamento_comercial_br,contabil_financiamento_residencial_br,credito_contratacao_contratado_pf_comercial_br,credito_contratacao_contratado_pf_fgts_br,credito_contratacao_contratado_pf_home_equity_br,credito_contratacao_contratado_pf_livre_br,credito_contratacao_contratado_pf_sfh_br,credito_contratacao_indexador_pf_ipca_br,credito_contratacao_indexador_pf_outros_br,credito_contratacao_indexador_pf_prefixado_br,credito_contratacao_indexador_pf_tr_br,credito_contratacao_ltv_pf_comercial_br,credito_contratacao_ltv_pf_fgts_br,credito_contratacao_ltv_pf_home_equity_br,credito_contratacao_ltv_pf_livre_br,credito_contratacao_ltv_pf_sfh_br,credito_contratacao_taxa_pf_comercial_br,credito_contratacao_taxa_pf_fgts_br,credito_contratacao_taxa_pf_home_equity_br,credito_contratacao_taxa_pf_livre_br,credito_contratacao_taxa_pf_sfh_br,credito_estoque_ativo_problematico_pf_comercial_br,credito_estoque_ativo_problematico_pf_fgts_br,credito_estoque_ativo_problematico_pf_home_equity_br,credito_estoque_ativo_problematico_pf_livre_br,credito_estoque_ativo_problematico_pf_sfh_br,credito_estoque_carteira_credito_pf_comercial_br,credito_estoque_carteira_credito_pf_fgts_br,credito_estoque_carteira_credito_pf_home_equity_br,credito_estoque_carteira_credito_pf_livre_br,credito_estoque_carteira_credito_pf_sfh_br,credito_estoque_inadimplencia_pf_comercial_br,credito_estoque_inadimplencia_pf_fgts_br,credito_estoque_inadimplencia_pf_home_equity_br,credito_estoque_inadimplencia_pf_livre_br,credito_estoque_inadimplencia_pf_sfh_br,credito_estoque_indexador_pf_ipca_br,credito_estoque_indexador_pf_outros_br,credito_estoque_indexador_pf_prefixado_br,credito_estoque_indexador_pf_tr_br,credito_estoque_parcela_pf_comercial_br,credito_estoque_parcela_pf_fgts_br,credito_estoque_parcela_pf_home_equity_br,credito_estoque_parcela_pf_livre_br,credito_estoque_parcela_pf_sfh_br,credito_estoque_risco_operacao_pf_a_br,credito_estoque_risco_operacao_pf_aa_br,credito_estoque_risco_operacao_pf_b_br,credito_estoque_risco_operacao_pf_c_br,credito_estoque_risco_operacao_pf_comercial_a_br,credito_estoque_risco_operacao_pf_comercial_aa_br,credito_estoque_risco_operacao_pf_comercial_b_br,credito_estoque_risco_operacao_pf_comercial_c_br,credito_estoque_risco_operacao_pf_comercial_d_mais_br,credito_estoque_risco_operacao_pf_d_mais_br,credito_estoque_risco_operacao_pf_fgts_a_br,credito_estoque_risco_operacao_pf_fgts_aa_br,credito_estoque_risco_operacao_pf_fgts_b_br,credito_estoque_risco_operacao_pf_fgts_c_br,credito_estoque_risco_operacao_pf_fgts_d_mais_br,credito_estoque_risco_operacao_pf_home_equity_a_br,credito_estoque_risco_operacao_pf_home_equity_aa_br,credito_estoque_risco_operacao_pf_home_equity_b_br,credito_estoque_risco_operacao_pf_home_equity_c_br,credito_estoque_risco_operacao_pf_home_equity_d_mais_br,credito_estoque_risco_operacao_pf_livre_a_br,credito_estoque_risco_operacao_pf_livre_aa_br,credito_estoque_risco_operacao_pf_livre_b_br,credito_estoque_risco_operacao_pf_livre_c_br,credito_estoque_risco_operacao_pf_livre_d_mais_br,credito_estoque_risco_operacao_pf_sfh_a_br,credito_estoque_risco_operacao_pf_sfh_aa_br,credito_estoque_risco_operacao_pf_sfh_b_br,credito_estoque_risco_operacao_pf_sfh_c_br,credito_estoque_risco_operacao_pf_sfh_d_mais_br,direcionamento_6100_br,direcionamento_6101_br,direcionamento_6102_br,direcionamento_6104_br,direcionamento_6107_br,direcionamento_6109_br,direcionamento_6113_br,direcionamento_6117_br,direcionamento_6119_br,direcionamento_6122_br,direcionamento_6123_br,direcionamento_6124_br,direcionamento_6139_br,direcionamento_6143_br,direcionamento_6166_br,direcionamento_6172_br,direcionamento_6178_br,direcionamento_6180_br,direcionamento_6200_br,direcionamento_6201_br,direcionamento_6202_br,direcionamento_6204_br,direcionamento_6206_br,direcionamento_6208_br,direcionamento_6209_br,direcionamento_6210_br,direcionamento_6214_br,direcionamento_6215_br,direcionamento_6216_br,direcionamento_6217_br,direcionamento_6218_br,direcionamento_6266_br,direcionamento_6280_br,direcionamento_6707_br,direcionamento_6716_br,direcionamento_6719_br,direcionamento_6720_br,direcionamento_6722_br,direcionamento_6730_br,direcionamento_6778_br,direcionamento_6800_br,direcionamento_6801_br,direcionamento_6802_br,direcionamento_6804_br,direcionamento_6805_br,direcionamento_6810_br,direcionamento_6814_br,direcionamento_6816_br,direcionamento_6817_br,direcionamento_6818_br,direcionamento_6830_br,direcionamento_6831_br,direcionamento_6838_br,direcionamento_6866_br,direcionamento_6880_br,direcionamento_aplicacao_comercial_br,direcionamento_aplicacao_imobiliario_br,direcionamento_aplicacao_residencial_br,direcionamento_aquisicao_comercial_br,direcionamento_aquisicao_imobiliario_br,direcionamento_aquisicao_residencial_br,direcionamento_construcao_comercial_br,direcionamento_construcao_imobiliario_br,direcionamento_construcao_residencial_br,direcionamento_reforma_ampliacao_comercial_br,direcionamento_reforma_ampliacao_imobiliario_br,direcionamento_reforma_ampliacao_residencial_br,fontes_cri_br,fontes_lci_br,fontes_lh_br,fontes_lig_br,fontes_sbpe_captacao_br,fontes_sbpe_saldo_br,imoveis_area_privativa_br,imoveis_area_total_br,imoveis_dormitorio_1_br,imoveis_dormitorio_2_br,imoveis_dormitorio_3_br,imoveis_dormitorio_4_mais_br,imoveis_garantia_alienacao_fiduciaria_br,imoveis_garantia_hipoteca_br,imoveis_implantacao_condominio_br,imoveis_implantacao_isolado_br,imoveis_tipo_apartamento_br,imoveis_tipo_casa_br,imoveis_valor_avaliacao_br,imoveis_valor_compra_br,indices_imobiliario_pib_br,indices_ivg_r_br,indices_mvg_r_br,indices_pib_br,indices_selic_br,credito_contratacao_contratado_mediana_pf_comercial,credito_contratacao_contratado_mediana_pf_fgts,credito_contratacao_contratado_mediana_pf_home_equity,credito_contratacao_contratado_mediana_pf_livre,credito_contratacao_contratado_mediana_pf_sfh,contratacao_pf_total
2017-01-31,12149642764.29,26087173844.68,580624894541.58,31020879.02,3305571908.24,151841795.66,439484083.64,2106174625.6,8215569.83,69027464.32,63898537.82,5892951720.19,57.42,74.39,41.6,55.32,63.83,14.74,8.38,23.52,13.62,12.95,51242848.31,13717470369.64,1465043272.61,2647761544.63,12318677334.07,1988991958.82,225260047152.2,11646996356.7,63949657748.88,248729040599.29,1.78,1.59,5.61,1.62,1.48,102959443.14,1579669866.4,4758040275.4,545134064230.95,2290.9,467.29,1697.02,2598.68,1437.17,10.52,65.35,12.22,6.96,13.07,78.4,3.0,2.79,2.74,4.95,6.02,57.43,23.19,7.72,5.64,17.36,48.08,9.35,16.41,8.8,9.42,78.08,3.92,4.94,3.65,14.55,69.95,4.63,6.38,4.49,405417282392.12,40995178902.98,10534732950.42,615488711.66,85484908.0,1571583459.88,38667353687.42,22164782776.97,31536068.72,0.0,112931839893.77,311458638.17,9119331836.19,18158852478.52,30611386705.88,1849236087.31,,,,,,,,,,,,,,,,,,0.0,284993.22,759285263.09,61494025013.36,41246591.7,196014037.93,,,,,,,,,,,,,,,,,-62015764653.6,405186085056.87,467201849710.47,,405417282392.12,405417282392.12,,30611386705.88,30611386705.88,,,,72987892050.85,181761907652.33,1125229248.2,,2135876440.0,510620427260.0,,,,,,,,,,,,,,,9.56,525.72,151491.0,6301469198841.73,13.0,150727.5,98605.82,98008.85,400000.0,185576.0,6034093292.16
2017-02-28,12352518608.81,26111138825.15,583726220088.71,28347539.91,3636616608.21,116333838.0,371668231.0,2122233554.42,8602169.43,18568388.02,57700051.97,6190329162.12,57.01,74.91,41.97,54.32,63.5,13.2,6.79,22.7,11.75,11.26,48561245.85,14033555127.35,1504662699.95,2724873373.48,12591280411.89,1836216089.86,228295629499.28,11604625252.76,63981707829.68,249369196813.54,1.99,1.85,6.31,1.91,1.73,110374617.69,1570380347.72,4744513306.7,548662107213.01,2282.06,467.71,1677.16,2627.56,1438.31,9.09,67.5,11.45,6.93,14.02,78.09,3.13,1.98,2.78,5.02,5.07,59.96,21.37,7.94,5.66,15.93,49.71,9.22,16.16,8.97,8.59,79.18,3.85,4.6,3.78,12.55,72.16,4.49,6.2,4.6,411385132001.63,40610145866.01,10455973618.8,604784144.73,78444482.0,1572889903.29,38839040706.79,22110452512.17,39953652.68,0.0,110981118991.46,340534952.88,9061675738.25,18097368012.19,30927448569.27,1840606163.08,,,,,,,,,,,,,,,,,,0.0,286919.22,730453686.7,62522210871.07,36813858.61,175150785.31,,,,,,,,,,,,,,,,,-63040412994.63,411942918337.68,474983331332.31,,411385132001.63,411385132001.63,,30927448569.27,30927448569.27,,,,75115591505.01,181341609284.83,1090765598.39,,3806084980.0,513039900320.0,,,,,,,,,,,,,,,9.58,524.81,154021.0,6321886131272.42,12.25,134161.5,102400.0,99000.0,309200.0,189000.0,6275199771.54
2017-03-31,13010436552.93,25901144579.95,585330775090.43,37496973.4,3992231684.61,158542058.62,462647860.44,2335003135.15,1013477.56,23484709.01,93985909.29,6867437616.36,45.17,74.7,44.36,47.36,58.94,14.52,7.95,22.68,12.96,12.59,45567583.38,14180258890.16,1472177952.83,2719808966.4,12526789851.87,1833006109.77,231283962088.17,11510112704.27,63429610655.69,248973432725.23,1.83,1.83,6.04,1.79,1.62,109367937.51,1541205278.12,4738699782.39,550640851285.11,2288.04,465.88,1617.45,2639.26,1442.49,11.25,63.39,13.27,7.01,12.67,78.84,3.44,2.23,2.82,5.08,6.51,54.75,25.08,7.99,5.67,18.17,47.31,9.27,16.32,8.93,10.47,76.72,4.23,4.75,3.84,15.52,68.65,4.85,6.28,4.7,414215179254.36,40327708681.06,9917460886.32,593733037.41,78728855.0,1563779259.39,39068563796.52,21441829968.81,40212572.85,0.0,111213040139.73,358569871.19,9032190287.89,17905708853.27,31358982702.93,1825044044.87,,,,,,,,,,,,,,,,,,0.0,287387.81,735661643.7,61709211159.16,48819425.32,145699315.08,,,,,,,,,,,,,,,,,-62250066674.65,414264585257.49,476514651932.14,,414215179254.36,414215179254.36,,31358982702.93,31358982702.93,,,,72668029252.37,181524024934.33,1107866551.78,,2532468170.0,512404875100.0,,,,,,,,,,,,,,,9.55,523.97,160000.0,6354702529753.52,12.25,152264.62,101336.93,100000.0,381737.9,194483.12,6985921712.219999
2017-04-30,13096061258.29,25841137399.7,587835715823.4,35057989.72,3996028231.21,126175060.26,337580787.47,2136384036.15,1412901.63,22390398.84,66417452.99,6541005351.35,59.97,74.64,40.99,56.97,63.87,12.67,6.17,21.65,11.25,10.72,48917854.01,14543546674.61,1479987780.87,2722933269.11,12628106926.38,1837832134.87,234404435082.78,11421010092.14,63109368596.08,249230794383.64,1.9,2.05,6.59,1.92,1.78,108412369.37,1528648776.43,4694616878.42,553671762265.29,2276.43,472.11,1643.54,2634.1,1444.69,9.05,66.87,11.74,7.16,13.04,77.65,3.88,2.71,2.72,5.18,5.16,59.39,21.57,8.18,5.71,15.49,49.62,8.87,16.6,9.41,8.53,78.72,3.98,4.83,3.95,12.51,71.63,4.66,6.39,4.81,417546235272.84,40028166208.56,9363950020.25,583297069.35,79059834.0,1551946276.7,39233603215.37,21317389619.86,38487697.08,0.0,110259455413.23,389560361.86,8955282705.75,17758608881.88,31580483102.18,1813604877.14,,,,,,,,,,,,,,,,,,0.0,289462.82,738412199.08,61170947304.13,30032401.32,50391967.92,,,,,,,,,,,,,,,,,-61828645671.15,418151574058.44,479980219729.59,,417546235272.84,417546235272.84,,31580483102.18,31580483102.18,,,,94056286018.22,181941053549.85,1117900278.67,,2692791110.0,514843384170.0,,,,,,,,,,,,,,,9.56,523.23,160000.0,6371496530347.99,11.25,140500.0,104381.0,98612.91,400000.0,193600.0,6631226104.809999
2017-05-31,13326791187.87,27255199471.51,588416756912.74,33965767.24,4499451797.77,164169721.66,356507361.64,2685625728.59,2187784.54,29508090.58,94266813.18,7613757688.6,56.17,75.24,41.31,54.99,63.92,13.61,7.08,21.57,12.09,11.67,49127056.16,14608385734.23,1463797175.04,2721799456.3,12652518398.19,1831988561.14,237627153966.36,11285642874.62,62499215260.74,249245277425.1,1.91,2.07,6.58,1.86,1.75,108523340.84,1501878574.35,4640590205.66,556238285967.11,2279.26,467.47,1613.66,2627.9,1447.11,9.28,65.89,12.34,7.31,9.54,81.51,3.77,2.38,2.8,5.17,5.41,57.79,22.7,8.44,5.67,16.34,48.66,8.93,16.29,9.78,8.13,79.05,3.99,4.95,3.89,12.93,70.98,4.78,6.46,4.84,421259167238.41,39626195772.67,8853527562.71,571915031.06,78924943.0,1542026616.43,39338632473.26,21154971062.18,38638262.37,0.0,109151175006.2,426539246.39,8833017427.73,17576738632.37,31846537208.66,1798105647.87,,,,,,,,,,,,,,,,,,0.0,290455.82,718766816.86,61282261148.64,26170926.07,28099793.24,,,,,,,,,,,,,,,,,-61946466790.37,421847295328.54,483793762118.91,,421259167238.41,421259167238.41,,31846537208.66,31846537208.66,,,,73050393290.39,181746971498.92,1111917808.49,,2228952830.0,517582001880.0,,,,,,,,,,,,,,,9.54,522.58,160000.0,6406014107484.52,11.25,144219.4,103825.94,105491.66,341638.73,198645.97,7739720376.900001
2017-06-30,13906524868.9,27081187339.29,591400494338.84,29146161.82,5113630074.75,234101279.45,346523222.77,2670201841.43,3116835.18,22640201.86,174534457.73,8193311085.45,58.33,75.33,45.27,55.71,63.88,13.43,6.87,19.6,11.8,11.41,45617603.86,14174599025.08,1432346251.7,2624049674.76,12215314754.98,1822193579.29,241587336222.25,12255453015.71,61969242494.15,249414102719.06,1.71,1.6,5.48,1.52,1.4,97077185.48,1481280444.57,5698110132.16,559771860268.25,2272.06,472.32,1684.95,2621.25,1450.17,8.67,67.09,11.75,7.37,9.68,81.93,3.56,2.31,2.51,5.12,4.91,59.61,21.45,8.49,5.54,17.03,49.31,8.82,15.42,9.42,7.67,79.68,3.89,4.96,3.79,12.14,71.97,4.52,6.52,4.85,444217884802.24,39159551213.52,8642355731.32,561764787.06,78941173.0,1532734480.51,39716221151.68,21141518663.01,38783088.67,0.0,108885351596.69,311879036.46,8747227832.15,17473408519.12,32105261807.64,1783711853.54,,,,,,,,,,,,,,,,,,0.0,292612.73,700834466.78,60840035308.03,24931799.78,20742756.99,,,,,,,,,,,,,,,,,-61494902605.31,445130989937.92,506625892543.23,,444217884802.24,444217884802.24,,32105261807.64,32105261807.64,,,,71927553235.58,180456502441.76,1108187698.3,,2568550710.0,525374293470.0,,,,,,,,,,,,,,,9.56,522.03,160000.0,6426381947982.61,10.25,124740.08,104870.35,110000.0,380000.0,193500.0,8393602580.219999
2017-07-31,13992861052.2,26879165616.47,594687181395.96,39920175.2,5127820433.54,224115900.13,359239534.68,2805482119.02,4887633.8,19216277.01,168847644.64,8363626607.12,63.2,75.17,47.09,56.14,63.92,13.31,6.95,19.14,11.89,11.51,45967979.56,13985210601.6,1493197252.06,2697769251.25,12076987114.77,1832043227.47,245330136597.49,12182216323.26,61586373641.79,249955054205.45,1.74,1.84,6.18,1.7,1.6,112383301.65,1444623630.16,5688422877.55,563640394186.1,2209.0,472.46,1660.42,2558.42,1441.31,8.85,67.17,11.66,7.47,9.5,81.69,3.38,3.06,2.36,4.85,5.36,59.77,21.13,8.63,5.11,17.04,49.02,8.86,15.35,9.73,7.75,79.46,3.88,5.11,3.8,12.14,72.17,4.48,6.56,4.64,449184367686.49,38533972042.31,8602652978.63,551859082.36,79056660.0,1526714600.93,39854039352.96,21050111014.49,38455283.77,0.0,108938545195.59,298168411.18,8669649565.52,17303390824.98,32407732359.04,1769813478.86,,,,,,,,,,,,,,,,,,0.0,294316.89,702170099.01,61654613459.03,25115134.78,17228142.68,,,,,,,,,,,,,,,,,-62314145963.69,448617292182.24,510931438145.93,,449184367686.49,449184367686.49,,32407732359.04,32407732359.04,,,,71929891805.85,178636465180.09,1067192948.19,,615940560.0,529217404660.0,,,,,,,,,,,,,,,9.57,521.57,160008.0,6452842393185.04,9.25,150000.0,104000.0,110910.11,399210.33,191818.05,8556578162.57
2017-08-31,14142894552.56,26147197820.79,597058455959.46,42463673.92,4841062731.77,219081298.55,401799042.06,3114231274.4,8300476.38,20496142.46,163366254.34,8426475147.52,58.84,75.87,49.44,56.64,63.61,13.0,6.74,19.41,11.1,11.18,42302877.54,14053698886.38,1450083262.68,2629429515.36,11870417741.47,1836142493.82,248695691774.81,12091078393.69,61104357546.16,250318674084.68,1.57,1.81,5.86,1.62,1.52,116831542.96,1416707865.32,5683857594.76,566828547290.12,2277.3,475.26,1664.15,2614.5,1455.17,9.75,65.0,12.84,7.54,9.13,82.47,3.41,2.64,2.35,4.87,5.71,57.34,23.06,8.79,5.09,18.13,47.67,9.63,14.88,9.68,8.79,78.12,4.19,5.07,3.84,13.59,70.12,5.03,6.58,4.68,452480461322.38,37759161868.5,8086149589.71,540728239.62,79456630.0,1519050431.33,40049670738.48,21001942579.77,38446806.77,0.0,108738529944.07,297477178.58,8616985238.46,17113332301.98,32720606945.84,1752118120.57,,,,,,,,,,,,,,,,,,0.0,295351.22,706143204.61,61115090599.06,16676940.34,16302978.25,,,,,,,,,,,,,,,,,-61787958533.86,451529099514.06,513317058047.92,,452480461322.38,452480461322.38,,32720606945.84,32720606945.84,,,,73361679543.77,177429318154.56,1063192103.05,,2578280890.0,533693395300.0,,,,,,,,,,,,,,,9.56,521.22,160000.0,6478038972596.42,9.25,152908.44,103200.0,115184.88,411300.0,192401.5,8618638020.7
2017-09-30,14661633025.48,25902283890.88,598268679643.18,30655389.7,3273593280.03,195768522.13,390237050.26,2498580290.43,5485946.68,23930947.14,138332758.6,6221084880.13,58.47,74.87,44.79,59.82,64.05,12.25,6.15,19.0,10.34,10.38,40551979.54,14244753338.46,1426840385.02,2593763313.14,11663964859.87,1837420818.36,251036549541.88,12022006216.58,60752641557.94,250452025659.19,1.44,1.8,5.85,1.64,1.5,119849885.68,1390977761.21,5689149185.24,568900666961.82,2271.14,476.23,1641.59,2620.12,1465.54,8.55,67.43,11.54,7.6,10.03,81.79,3.04,2.78,2.35,4.88,5.06,59.84,21.07,8.98,5.05,17.32,49.3,8.72,14.8,9.87,7.74,79.91,3.54,4.93,3.88,11.8,72.78,4.14,6.54,4.73,455022280904.49,37259317517.75,7973522485.44,530450130.62,80388322.0,1510089580.13,40431963786.65,20928277986.45,38746698.32,0.0,107320250407.42,297658441.19,8589092540.35,16958005001.4,32907499780.29,1738974879.48,,,,,,,,,,,,,,,,,,0.0,296772.8,714221895.98,61387293202.1,15861949.71,16267488.32,,,,,,,,,,,,,,,,,-62069088887.25,454876928759.89,516946017647.14,,455022280904.49,455022280904.49,,32907499780.29,32907499780.29,,,,72458697221.64,179241709448.44,1074444599.97,,2765649340.0,539463602830.0,,,,,,,,,,,,,,,9.54,520.98,160005.0,6497846714414.25,8.25,129647.3,103748.0,111315.26,454450.0,193885.6,6388834532.549999
2017-10-31,14894198232.4,25490330190.21,598906862800.53,26206860.13,3110318516.61,198325102.2,445434234.58,2791967999.06,7594221.84,17080977.41,151140051.36,6396437461.97,58.9,74.27,44.18,56.97,63.2,12.25,5.97,18.27,10.22,10.27,43020181.45,14130245921.38,1408277939.87,2556234636.46,11338461377.94,1827631617.35,252988181839.52,11970786672.91,60757928311.97,250433147793.46,1.53,1.86,6.06,1.64,1.5,125512885.4,1373983816.0,5725637556.5,570752541977.31,2197.9,477.63,1633.95,2565.44,1456.19,8.47,67.47,11.64,7.54,9.52,82.62,3.11,2.36,2.38,4.87,4.87,59.83,21.22,9.08,5.01,17.65,49.35,8.71,14.2,10.09,7.96,79.9,3.55,4.65,3.94,11.79,72.94,4.14,6.41,4.72,456835025568.81,36539232554.38,8004337517.76,520751765.31,81384976.0,1506025201.53,38913474093.32,20848425648.62,39012525.97,0.0,105393025345.38,309149406.29,8522675245.88,16778924629.05,33110512901.38,1724471698.9,,,,,,,,,,,,,,,,,,0.0,298292.69,722865642.18,59489015070.98,40819920.98,15864550.01,,,,,,,,,,,,,,,,,-60154897949.48,458185480438.34,518340378387.82,,456835025568.81,456835025568.81,,33110512901.38,33110512901.38,,,,73055555252.31,194427321144.48,1084872312.37,,2158226130.0,540287704600.0,,,,,,,,,,,,,,,9.51,520.84,161007.0,6526926531531.94,7.5,136858.53,100958.06,113636.65,500000.0,195000.0,6572252712.58
2017-11-30,15149780629.68,25221853090.04,600289823480.03,28266805.01,4253510971.36,259194141.33,421242508.23,2026394089.5,7227352.87,33609771.32,200421721.68,6747349669.56,57.73,74.33,49.32,55.07,62.93,12.39,5.86,17.94,10.05,9.86,46281193.74,13793338888.4,1370351361.61,2385528207.53,10909355859.94,1820482649.09,255900267478.93,11964735299.83,60343424535.05,250109587242.12,1.69,1.86,5.99,1.58,1.49,130624176.15,1382156124.86,5776197950.37,572849518953.64,2245.66,478.39,1632.51,2592.52,1458.36,8.39,67.47,11.58,7.69,9.1,83.06,2.63,2.63,2.58,4.87,4.75,60.08,20.94,9.26,4.98,17.4,49.05,8.87,14.45,10.23,7.96,79.82,3.6,4.74,3.88,11.78,72.82,4.12,6.52,4.76,459438267203.26,36059973215.85,7683659043.93,511360170.84,82295223.0,1484109630.23,39919813392.33,20707984626.65,39277011.57,0.0,102207190101.45,286523470.42,8453246241.04,16634514895.46,33425281695.39,1710502038.85,,,,,,,,,,,,,,,,,,0.0,299731.02,731753375.05,59409458273.36,55148012.09,15384001.46,,,,,,,,,,,,,,,,,-60070379903.84,464159237853.53,524229617757.37,,459438267203.26,459438267203.26,,33425281695.39,33425281695.39,,,,72912863746.25,192176159732.68,1071737058.11,,5147040880.0,546487327030.0,,,,,,,,,,,,,,,9.49,520.8,158000.0,6554772449163.3,7.5,125205.0,100734.18,125343.55,490311.29,201424.59,6988608515.43
2017-12-31,15906241039.13,24675817241.51,601980880051.59,21216506.25,3828260875.43,228637640.54,470053575.97,2307497739.4,7220823.14,38302794.26,163659988.78,6646482731.41,60.9,73.58,43.64,58.3,63.04,12.4,5.82,17.88,9.86,9.81,49339237.82,13056194771.15,1294158450.35,2295849738.63,10370716225.04,1804702472.34,258460346132.54,11932182083.57,60003994646.69,250057201045.67,1.92,1.47,5.36,1.36,1.23,137051787.64,1396207828.82,5799145194.65,574926021569.7,2239.8,482.09,1623.88,2596.62,1459.24,8.27,67.55,11.53,7.85,9.15,83.26,2.9,2.33,2.35,4.8,4.61,60.25,20.79,9.49,4.85,17.73,49.17,8.72,14.43,9.95,7.93,79.8,3.55,4.89,3.83,11.67,72.92,4.08,6.58,4.74,461711013882.84,35563076192.29,7654923480.03,501773128.18,83476685.0,1473927921.34,40081121775.44,20618997783.21,39433810.97,0.0,100761336771.95,244398584.65,8261264616.14,16480152824.37,33649850429.21,1697444029.56,,,,,,,,,,,,,,,,,,0.0,301276.64,743230170.7,57046582541.47,65153569.25,14928500.9,,,,,,,,,,,,,,,,,-57709429365.38,469590089005.9,527299518371.28,,461711013882.84,461711013882.84,,33649850429.21,33649850429.21,,,,73791526975.07,183470359835.98,1090943494.13,,654217960.0,563741675710.0,,,,,,,,,,,,,,,9.47,520.87,154000.0,6585479000139.78,7.0,126000.0,100800.62,125601.25,522320.0,199099.24,6855666337.59
2018-01-31,16228643581.95,24320899311.41,602057408462.57,26261813.73,3578944785.13,199423479.27,484162828.3,2536368355.92,7436645.55,33564168.39,143362517.57,6640797930.84,57.78,73.66,46.74,55.18,63.69,12.36,5.95,17.73,9.82,9.85,46378939.27,13974117267.39,1332604637.05,2422575447.04,10888552011.73,1788955121.17,260372798505.41,11842655544.6,59561899946.19,249629728943.16,1.75,1.95,6.12,1.72,1.6,143012723.2,1390429732.24,5774156759.87,575888438845.22,2229.0,480.72,1626.87,2594.3,1464.16,10.03,64.74,12.45,7.94,9.36,83.12,2.62,2.24,2.66,4.83,5.41,57.54,22.59,9.61,4.85,19.15,47.32,8.86,14.64,10.02,10.0,77.48,3.68,4.94,3.9,14.43,69.9,4.21,6.64,4.81,461419196049.7,34881726747.12,7504601742.39,491824265.21,85117768.0,1467626006.99,40244461015.69,20488695103.5,39379105.95,0.0,97805730859.79,319592507.95,8129363439.5,16302827014.66,33706120907.02,1681429614.38,,,,,,,,,,,,,,,,,,0.0,304191.81,755926973.93,56198174740.02,91926520.24,14496306.39,,,,,,,,,,,,,,,,,-56847374695.51,472108855732.76,528956230428.27,,461419196049.7,461419196049.7,,33706120907.02,33706120907.02,,,,73005337876.62,183879293504.39,1038499562.68,,1968721920.0,561067029300.0,60.76,77.0,7131.0,34737.0,10609.0,1640.0,48682.0,5435.0,20841.0,33276.0,17002.0,37115.0,168000.0,164000.0,9.41,521.05,154000.0,6624241744575.99,7.0,136100.0,101819.33,125000.0,500000.0,190000.0,6825161262.35
2018-02-28,16178647009.91,24032302181.97,603187307413.67,22424062.45,3342095401.47,161998348.02,558996183.85,2405553310.16,5602696.36,22705327.18,130036303.8,6332722978.61,58.02,73.69,54.98,57.54,63.68,12.48,6.02,17.46,9.87,9.85,45420346.8,14395572000.53,1317193686.43,2358941977.34,10836058994.5,1778578763.62,262402016344.36,11738406266.21,59276892080.1,249586790183.83,1.76,2.17,6.46,1.74,1.69,147036431.65,1374284994.94,5749164248.16,577512197963.37,2149.68,480.02,1621.84,2513.11,1453.49,8.1,67.82,11.18,7.97,9.21,82.72,2.76,2.86,2.45,4.94,4.27,61.13,19.92,9.7,4.99,17.81,49.1,8.5,14.19,10.4,8.13,79.36,3.63,4.94,3.94,11.65,72.88,3.96,6.62,4.88,464959458776.18,34293253224.52,7507824392.43,481998738.9,78226084.0,1458472920.18,40376897305.02,20477468027.22,39399261.22,0.0,95184632105.95,201276594.74,8077472719.57,16165425482.36,34107444831.37,1668082295.48,,,,,,,,,,,,,,,,,,0.0,304964.45,727967299.09,54966483714.76,90649941.38,14048741.94,,,,,,,,,,,,,,,,,-55589447366.08,479118621181.16,534708068547.24,,464959458776.18,464959458776.18,,34107444831.37,34107444831.37,,,,72158352934.76,179773380783.46,1076466427.48,,2685583420.0,562726350860.0,59.7,81.34,6537.0,32433.0,9420.0,1560.0,44204.0,5746.0,20744.0,29206.0,14900.0,35050.0,170000.0,165000.0,9.39,521.31,160000.0,6653384854274.19,6.75,133500.0,104000.0,124364.32,460522.99,189147.53,6491067305.949999
2018-03-31,16583497126.8,23723145776.11,604855525885.74,25174894.92,3831544590.55,186467547.98,624005382.21,2607276263.43,8224569.62,31670366.66,131639722.68,7102934020.13,60.12,72.67,45.92,57.13,64.21,12.07,5.99,17.57,9.86,9.81,43392249.9,14386406497.89,1289146919.44,2298662054.78,10616637888.97,1765039140.47,264999826977.36,11677433013.95,58983584555.08,249772246550.47,1.61,2.05,6.11,1.6,1.54,151465452.75,1369028436.68,5753343896.36,579924292451.54,2203.01,483.42,1620.4,2586.99,1464.04,8.0,67.93,11.68,7.52,9.69,82.45,2.79,2.57,2.51,4.88,4.25,61.43,20.16,9.18,4.98,17.75,49.12,9.66,13.44,10.03,8.03,79.31,4.04,4.72,3.89,11.5,72.9,4.64,6.17,4.79,467747315761.17,33371484915.27,7333276312.75,471758832.58,78677525.0,1448632859.74,40546569123.24,19907445012.8,39590944.75,0.0,91477103457.47,140831716.11,8055770088.86,16028478774.66,34384383646.03,1655961276.83,,,,,,,,,,,,,,,,,,0.0,307390.4,735027038.09,55633277610.18,91063689.54,13602352.72,,,,,,,,,,,,,,,,,-56263331215.61,483469742116.71,539733073332.32,,467747315761.17,467747315761.17,,34384383646.03,34384383646.03,,,,72721120355.65,176991891647.01,1094610735.6,,3258259710.0,567815814110.0,58.93,80.09,8683.0,40460.0,11468.0,1878.0,55591.0,6898.0,27052.0,35437.0,17790.0,44699.0,167000.0,161000.0,9.37,521.66,164760.0,6681888651428.84,6.5,121350.0,102400.0,120900.0,500000.0,190034.95,7274468679.09
