data_base,regiao,carteira_ativa,carteira_inadimplida_arrastada,numero_de_operacoes,ticket_medio
2013-10-01,nordeste,42094318396.78,913448962.66,595322,70708.48783814473
2013-10-01,norte,9320422157.03,235502438.23,102457,90969.11052470794
2013-10-01,sudeste,166170763828.13,2398824906.75,1867604,88975.37370241765
2013-10-01,sul,59438244421.4,716721218.67,833004,71354.09244301348
2013-11-01,centro-oeste,34647642869.83,630344222.88,408092,84901.54884151123
2013-11-01,nordeste,43205797252.32,871091801.23,605835,71316.11288935106
2013-11-01,norte,9580666058.21,238499635.6,104238,91911.4531956676
2013-11-01,sudeste,170219279853.3,2419657547.22,1890621,90033.52858838445
2013-11-01,sul,60840158411.93,709765492.11,843616,72118.30786984837
2013-12-01,centro-oeste,35471071684.02,563035831.53,413835,85713.07812055529
2013-12-01,nordeste,44299834654.64,755583747.08,613297,72232.27026161876
2013-12-01,norte,9844267842.11,214082722.8,105759,93082.08135581842
2013-12-01,sudeste,173888668676.79,2212527876.31,1906263,91219.66311930201
2013-12-01,sul,62221547338.01,625866814.09,851690,73056.5667531731
2014-01-01,centro-oeste,36158320346.32,615097233.22,418460,86408.06850432538
2014-01-01,nordeste,45255858266.41,801401218.84,620120,72979.19477909115
2014-01-01,norte,10078562349.78,231345743.84,107222,93997.1493702785
2014-01-01,sudeste,177177581490.56,2372647161.06,1921885,92189.48141567264
2014-01-01,sul,63367054821.53,680870569.31,859054,73763.7620237261
2014-02-01,centro-oeste,36953739352.65,657706501.05,424724,87006.47797781619
2014-02-01,nordeste,46361101610.09,897455136.82,629498,73647.73456006213
2014-02-01,norte,10313787365.03,272913205.54,109145,94496.19648201934
2014-02-01,sudeste,180667829988.79,2579632695.8,1938115,93218.32295234804
2014-02-01,sul,64551281578.06,768583974.87,867566,74405.03843864329
2014-03-01,centro-oeste,37636488589.81,651277665.13,430117,87502.90871974369
2014-03-01,nordeste,47258372278.6,915473284.48,637177,74168.35867992725
2014-03-01,norte,10523844948.19,267930553.69,110738,95033.72779163432
2014-03-01,sudeste,183763637853.75,2656486979.34,1955378,93978.57491173063
2014-03-01,sul,65693168854.84,797421180.53,875750,75013.60988277476
2014-04-01,centro-oeste,38399291067.87,751250226.76,436647,87941.26850263486
2014-04-01,nordeste,48295090169.8,1051607056.24,646036,74756.03553021814
2014-04-01,norte,10776544687.31,315090986.97,112728,95597.76353088851
2014-04-01,sudeste,187089900890.52,3041319270.94,1973962,94778.87664023926
2014-04-01,sul,67010781146.270004,849546305.81,885325,75690.6007921046
2014-05-01,centro-oeste,39292315809.9,752404559.02,443216,88652.74676433162
2014-05-01,nordeste,49661232742.11,1066615524.0699999,657041,75583.1565185582
2014-05-01,norte,11063731037.07,316320235.64,114699,96458.82733999424
2014-05-01,sudeste,191338942405.27,2959425683.48,1995724,95874.45077839922
2014-05-01,sul,68656883509.08,841051981.95,897444,76502.6937715111
2014-06-01,centro-oeste,40162400804.32,701109653.73,450546,89141.6210649301
2014-06-01,nordeste,50919865360.85,964432718.25,668014,76225.74580899502
2014-06-01,norte,11363081983.82,277519415.43,117009,97112.88861386731
2014-06-01,sudeste,195227104688.57,2746450474.99,2021380,96581.10038120986
2014-06-01,sul,70188927641.55,700302032.36,909671,77158.58551228962
2014-07-01,centro-oeste,41190460381.97,729494402.88,456500,90231.01945667031
2014-07-01,nordeste,52102802813.23,1032213055.59,677156,76943.57402611806
2014-07-01,norte,11645276001.72,314249832.14,119005,97855.35062997353
2014-07-01,sudeste,199315145512.96,2810294444.78,2043563,97533.15435489877
2014-07-01,sul,71850371389.69,798581705.22,921465,77974.06454904961
2014-08-01,centro-oeste,42579283796.47,780333166.37,464780,91611.69541819787
2014-08-01,nordeste,53833451223.19,1090212635.23,689083,78123.3192854707
2014-08-01,norte,11964924720.19,282138438.13,121052,98841.1981643426
2014-08-01,sudeste,204567996090.48,2902171784.92,2066511,98991.97056801537
2014-08-01,sul,73693147549.86,808886637.97,933162,78971.44070360773
2014-09-01,centro-oeste,43184556064.48,769301408.8100001,469020,92074.0183030148
2014-09-01,nordeste,55096307030.97,1059125622.21,697713,78967.00653559559
2014-09-01,norte,12201218785.77,294508757.56,122520,99585.52714471107
2014-09-01,sudeste,206716458584.45,2770891764.73,2066281,100042.76213373206
2014-09-01,sul,75260589766.21,829679453.25,943441,79772.43915222044
2014-10-01,centro-oeste,44271424441.76,916338513.9399999,477234,92766.702376109
2014-10-01,nordeste,56564900062.07,1267674799.38,709184,79760.54178051112
2014-10-01,norte,12535274045.36,347906977.78,124953,100319.91265003642
2014-10-01,sudeste,211329535285.52,3166081135.8,2090509,101089.9906604181
2014-10-01,sul,76964890431.88,956269035.6,955306,80565.69353890796
2014-11-01,centro-oeste,45205537989.27,919448789.28,484252,93351.26749971088
2014-11-01,nordeste,57887632532.09,1265789071.94,720232,80373.59147065112
2014-11-01,norte,12807550934.89,381520544.95,126979,100863.53597752383
2014-11-01,sudeste,215386333927.13998,3066186672.61,2112284,101968.45401808657
2014-11-01,sul,78604357706.67,855771122.87,967167,81272.78712639079
2014-12-01,centro-oeste,46184472097.46,846870063.96,491563,93954.32955177668
2014-12-01,nordeste,59351207317.86,1024781655.62,732136,81065.82290429647
2014-12-01,norte,13107249937.01,342401764.99,129038,101576.66685015267
2014-12-01,sudeste,219495431979.51,2602886638.9,2136154,102752.6255033626
2014-12-01,sul,80250555139.61,653672031.02,978381,82023.82828326593
2015-01-01,centro-oeste,47104495143.48,981777103.04,498412,94509.15135165285
2015-01-01,nordeste,60617936589.63,1196172969.77,742517,81638.44947607933
2015-01-01,norte,13344889775.8,388080894.84000003,130655,102138.37798629979
2015-01-01,sudeste,223054208476.54,3107445204.83,2156411,103437.70666934087
2015-01-01,sul,81768412122.17,776287928.55,988979,82679.62426115216
2015-02-01,centro-oeste,47648095229.65,1112803545.25,503196,94690.92605992497
2015-02-01,nordeste,61568368969.92,1314870262.19,751066,81974.64533066335
2015-02-01,norte,13569208947.82,408713775.69,132321,102547.66021886171
2015-02-01,sudeste,225475057235.1,3372440749.41,2171107,103852.57715768961
2015-02-01,sul,82570780042.69,882860056.47,995795,82919.4563566698
2015-03-01,centro-oeste,48509453896.71,1050165807.6,509178,95270.12929998939
2015-03-01,nordeste,62835190169.22,1238472193.63,761704,82492.92398257066
2015-03-01,norte,13923769152.11,396381771.73,134564,103473.21090417943
2015-03-01,sudeste,229331768484.84,3262458727.5,2191504,104645.83614031276
2015-03-01,sul,83915049078.94,871822313.97,1005814,83429.9871337444
2015-04-01,centro-oeste,49494258988.74,1169703676.62,516172,95887.14418593027
2015-04-01,nordeste,64283970408.62,1416616813.96,772529,83212.37184444856
2015-04-01,norte,14272843428.29,427986034.34,137049,104144.0902763975
2015-04-01,sudeste,233013245342.26,3526485401.0,2213499,105269.18934332476
2015-04-01,sul,85549344886.64,956747814.06,1017892,84045.60099366141
2015-05-01,centro-oeste,50160667375.56,1190740621.5,522101,96074.64336509602
2015-05-01,nordeste,65321665384.16,1495780872.71,781348,83601.24475158316
2015-05-01,norte,14512489746.47,454961395.33,138586,104718.29583413909
2015-05-01,sudeste,235493298644.96,3698480403.5,2227978,105698.2154424146
2015-05-01,sul,86581033618.14,1019512966.24,1025612,84418.89683246685
2015-06-01,centro-oeste,50791509676.96,1076631289.33,527280,96327.39659566074
2015-06-01,nordeste,66331090262.68,1427190644.94,790610,83898.62291481261
2015-06-01,norte,14697903180.13,429442466.64,140078,104926.5636297634
2015-06-01,sudeste,238087675799.83002,3282459499.5299997,2244085,106095.65849770843
2015-06-01,sul,87664071492.64,851596115.89,1033651,84810.12594448222
2015-07-01,centro-oeste,51453047396.11,1110565390.17,532804,96570.30990028229
2015-07-01,nordeste,67430111761.55,1506185033.12,801019,84180.41489846059
2015-07-01,norte,14916182492.23,448434424.65,141750,105228.80065065256
2015-07-01,sudeste,240767813109.01,3480887106.82,2260921,106491.03312721231
2015-07-01,sul,88854770842.35,928450196.22,1042254,85252.51123272255
2015-08-01,centro-oeste,52114812994.25,1141640649.28,540636,96395.38061514587
2015-08-01,nordeste,68440555806.68,1544719352.79,816786,83792.5182442892
2015-08-01,norte,15119265414.71,446864076.31,144054,104955.54038561927
2015-08-01,sudeste,243143418570.43,3518156513.24,2281843,106555.71771170497
2015-08-01,sul,89867189678.12,968491617.34,1053013,85342.90619215526
2015-09-01,centro-oeste,52508660440.03,1114551635.48,543163,96672.01271078848
2015-09-01,nordeste,69460434564.93,1548377207.22,824881,84206.61230520523
2015-09-01,norte,15234797664.61,453483133.33,144761,105241.03636069107
2015-09-01,sudeste,244931892818.43,3548948470.83,2291049,106908.18608350585
2015-09-01,sul,90880821680.37,984607194.12,1060671,85682.38565999258
2015-10-01,centro-oeste,53026505829.73,1352475047.09,547345,96879.49251336908
2015-10-01,nordeste,70178406286.23,1836872602.67,831413,84408.59871836258
2015-10-01,norte,15403336334.01,533267572.57,145960,105531.21631960811
2015-10-01,sudeste,247251979214.22,4067602563.46,2305049,107265.38967901333
2015-10-01,sul,91744337059.42,1215667762.39,1067018,85981.99567338133
2015-11-01,centro-oeste,53456623434.82,1361267373.39,550741,97063.09033614711
2015-11-01,nordeste,70981777655.8,1901630804.9,837532,84751.12312819093
2015-11-01,norte,15536214957.49,549219865.83,146912,105751.84435233337
2015-11-01,sudeste,248804907804.21,4307534373.7699995,2313976,107522.6829509943
2015-11-01,sul,92603183537.32,1253456490.9,1073358,86274.27525328922
2015-12-01,centro-oeste,54089083838.89,1254867923.28,560258,96543.17089428441
2015-12-01,nordeste,72122000666.93,1723067793.93,866302,83252.72326155312
2015-12-01,norte,15757206307.0,508646056.01,155624,101251.77547807536
2015-12-01,sudeste,251225439068.33,3798541440.43,2342644,107240.1265699483
2015-12-01,sul,93699893117.46,1130804194.04,1085751,86299.61484489539
2016-01-01,centro-oeste,54540044075.05,1336768345.72,566809,96222.96765762365
2016-01-01,nordeste,72589706465.07,1786499688.86,875212,82939.56945867973
2016-01-01,norte,15732986086.53,526333008.27,160148,98240.29077184855
2016-01-01,sudeste,252205556145.16,4036923990.04,2354386,107121.58335343482
2016-01-01,sul,94611444691.55,1208698512.39,1094425,86448.5411897115
2016-02-01,centro-oeste,54867314999.67,1401647653.67,570154,96232.44772407104
2016-02-01,nordeste,73194289978.02,1884102190.25,883042,82888.79801642505
2016-02-01,norte,15803902813.03,563951065.59,161259,98003.22966798753
2016-02-01,sudeste,253395147475.63998,4190525313.28,2364936,107146.72510192242
2016-02-01,sul,95188922432.08,1279347461.46,1099470,86577.09844932558
2016-03-01,centro-oeste,55323774586.39,1324538663.36,575365,96154.22312165321
2016-03-01,nordeste,74099214065.91,1853744916.09,896779,82628.17713830275
2016-03-01,norte,15978646625.14,537513152.32,164887,96906.64894831004
2016-03-01,sudeste,255391599441.58,3992506146.52,2384312,107113.33057149399
2016-03-01,sul,96026307739.7,1249910514.11,1106592,86776.61481349946
2016-04-01,centro-oeste,55348897190.13,1392844260.01,574570,96330.99046265903
2016-04-01,nordeste,74173899950.5,1957302634.85,898598,82544.02964451289
2016-04-01,norte,15927421737.28,550506735.4399999,164049,97089.41680400369
2016-04-01,sudeste,255895152734.41,4080531078.92,2385764,107259.2061638997
2016-04-01,sul,96052920368.06,1315122433.0,1105103,86917.61796688635
2016-05-01,centro-oeste,55734507538.02,1390639157.49,578100,96409.80373295277
2016-05-01,nordeste,74864407822.37,1962005206.26,904939,82728.67875334137
2016-05-01,norte,16054515065.94,548989104.53,165453,97033.68972421171
2016-05-01,sudeste,257407666237.35,4095141222.69,2398556,107317.76378677422
