data_base,ocupacao,carteira_ativa,carteira_inadimplida_arrastada,numero_de_operacoes,ticket_medio
2021-03-01,PF - Empresário,113231246007.47,1549833210.32,661089,171279.8821451726
2021-03-01,PF - MEI,11684284335.119999,203932492.05,123717,94443.64424549576
2021-03-01,PF - Outros,150574843113.2,3939280395.8,1865650,80709.05213367996
2021-03-01,PF - Servidor ou empregado público,125838964956.44,827854057.06,1093548,115074.02048784324
2021-04-01,PF - Aposentado/pensionista,21248392900.94,254355719.59,255425,83188.38367794851
2021-04-01,PF - Autônomo,45940813572.43,1014283839.58,384235,119564.36444475387
2021-04-01,PF - Empregado de empresa privada,264431033563.26,3280882796.09,2535202,104303.73341582248
2021-04-01,PF - Empregado de entidades sem fins lucrativos,783799906.8100001,7752091.609999999,7415,105704.64016318275
2021-04-01,PF - Empresário,114894082590.08,1700212152.88,662895,173321.69135395502
2021-04-01,PF - MEI,11818663281.41,234808535.06,124103,95232.69607833815
2021-04-01,PF - Outros,152846400560.8,4262646987.8,1882665,81186.19114967347
2021-04-01,PF - Servidor ou empregado público,126935838789.97,910840379.08,1095974,115820.11871629253
2021-05-01,PF - Aposentado/pensionista,21234745000.81,265445405.3,254248,83519.81136846701
2021-05-01,PF - Autônomo,46573838572.93,1089816545.0,386286,120568.27990900524
2021-05-01,PF - Empregado de empresa privada,268680213521.16,3592030157.72,2558458,105016.46441769222
2021-05-01,PF - Empregado de entidades sem fins lucrativos,803837947.66,8884193.93,7453,107854.27984167449
2021-05-01,PF - Empresário,116742563774.39,1892011098.6200001,664878,175584.9400557546
2021-05-01,PF - MEI,12047397317.77,261491118.23,125536,95967.66917673018
2021-05-01,PF - Outros,154260048655.38,4445993890.32,1888853,81668.63628634944
2021-05-01,PF - Servidor ou empregado público,128207801486.04,995662765.09,1100017,116550.74556669578
2021-06-01,PF - Aposentado/pensionista,21161320802.16,252111213.14000002,252215,83901.91226596356
2021-06-01,PF - Autônomo,47119646992.86,1026396243.75,387851,121489.04345447091
2021-06-01,PF - Empregado de empresa privada,272177142247.67,3408304036.72,2572451,105804.59734613799
2021-06-01,PF - Empregado de entidades sem fins lucrativos,806547019.92,8994957.24,7436,108465.17212479828
2021-06-01,PF - Empresário,118540396077.42,1747900810.54,666808,177772.90626000287
2021-06-01,PF - MEI,12223651020.13,234625311.46,126268,96807.19596516932
2021-06-01,PF - Outros,156452913773.44,4153351966.09,1904329,82156.45183864763
2021-06-01,PF - Servidor ou empregado público,129398722978.62,967314376.05,1103107,117303.87258771814
2021-07-01,PF - Aposentado/pensionista,21246227099.68,243477245.31,250949,84663.52565533236
2021-07-01,PF - Autônomo,47528205756.55,999735502.42,388796,122244.58522348481
2021-07-01,PF - Empregado de empresa privada,275779975527.42,3472983860.96,2587879,106566.02396302918
2021-07-01,PF - Empregado de entidades sem fins lucrativos,824580692.8100001,9317224.19,7523,109607.96129336701
2021-07-01,PF - Empresário,120092491862.15,1757796548.54,668027,179771.91320433156
2021-07-01,PF - MEI,12403999174.01,235333459.48,127210,97508.05104952441
2021-07-01,PF - Outros,158293175012.16,4189739501.94,1914264,82691.40255061998
2021-07-01,PF - Servidor ou empregado público,130968239117.33,993668638.23,1107086,118299.96867210859
2021-08-01,PF - Aposentado/pensionista,21233667828.71,244754793.49,249527,85095.67232688246
2021-08-01,PF - Autônomo,48176817758.47,971488741.36,390542,123358.86475326598
2021-08-01,PF - Empregado de empresa privada,279831573773.95,3485249461.38,2605656,107393.90532516572
2021-08-01,PF - Empregado de entidades sem fins lucrativos,836283668.73,9046283.99,7573,110429.64066156081
2021-08-01,PF - Empresário,122392040782.5,1705441806.4,671476,182273.1427221524
2021-08-01,PF - MEI,12580782021.73,228566696.47,128069,98234.40506078754
2021-08-01,PF - Outros,160713881101.42,4146780193.7,1930269,83259.83637587301
2021-08-01,PF - Servidor ou empregado público,132407802175.31,1020072651.33,1111740,119099.61157762606
2021-09-01,PF - Aposentado/pensionista,21182196345.34,243818694.10999998,248237,85330.53632351341
2021-09-01,PF - Autônomo,48797712580.05,961124413.17,392077,124459.5132590027
2021-09-01,PF - Empregado de empresa privada,283469787770.36,3560811605.52,2622998,108070.91266190824
2021-09-01,PF - Empregado de entidades sem fins lucrativos,854242934.73,9210850.81,7646,111724.1609639027
2021-09-01,PF - Empresário,124285572006.20999,1625027590.06,674591,184238.4081705952
2021-09-01,PF - MEI,12771079231.55,236990797.09,128914,99066.65863715345
2021-09-01,PF - Outros,162832597335.4,4270785008.5099998,1944213,83752.44756382145
2021-09-01,PF - Servidor ou empregado público,133738015163.85,1054548578.77,1115881,119849.71082386922
2021-10-01,PF - Aposentado/pensionista,21125028411.13,227805089.56,246521,85692.6120335793
2021-10-01,PF - Autônomo,49286750867.4,904727220.56,392709,125504.51063611989
2021-10-01,PF - Empregado de empresa privada,286619908239.37,3291282800.04,2632680,108870.01391713766
2021-10-01,PF - Empregado de entidades sem fins lucrativos,856577869.1,9064002.0,7628,112293.8999868904
2021-10-01,PF - Empresário,126230249318.91,1463226250.3,676796,186511.51797426405
2021-10-01,PF - MEI,12899322348.71,219090465.46,129198,99841.50179344881
2021-10-01,PF - Outros,165107719664.61002,4214726678.25,1957106,84363.1973253416
2021-10-01,PF - Servidor ou empregado público,134722909815.28,959413532.37,1117511,120556.22702172954
2021-11-01,PF - Aposentado/pensionista,23004704254.49,255487951.27,268702,85614.1906442453
2021-11-01,PF - Autônomo,49254541886.34,906188202.34,388713,126711.84623704378
2021-11-01,PF - Empregado de empresa privada,299473630660.48,3547076129.21,2773833,107963.82863008695
2021-11-01,PF - Empregado de entidades sem fins lucrativos,862827836.4200001,8039182.68,7653,112743.73924212728
2021-11-01,PF - Empresário,130468096224.07,1418555078.74,694122,187961.33276869197
2021-11-01,PF - MEI,14388721510.03,236521757.88,145313,99018.81806878945
2021-11-01,PF - Outros,151306690802.2,4066996433.72,1769142,85525.46420931729
2021-11-01,PF - Servidor ou empregado público,137105528254.51,1007642727.1,1142313,120024.48388008364
2021-12-01,PF - Aposentado/pensionista,21135597832.23,217449423.73,244499,86444.5164693107
2021-12-01,PF - Autônomo,50546016797.25,879267937.68,395892,127676.27736162893
2021-12-01,PF - Empregado de empresa privada,294109580239.5,3104487392.45,2668614,110210.61129091731
2021-12-01,PF - Empregado de entidades sem fins lucrativos,884409837.0,7794656.48,7759,113985.02861193453
2021-12-01,PF - Empresário,130395800255.86,1390296494.81,683054,190901.15899454508
2021-12-01,PF - MEI,13291632930.37,211108066.1,131066,101411.75385202875
2021-12-01,PF - Outros,169202199194.7,4253168025.79,1980805,85420.92694369209
2021-12-01,PF - Servidor ou empregado público,137257448394.29,890169970.0,1124598,122050.23341166355
2022-01-01,PF - Aposentado/pensionista,22951452526.65,277849997.67,265952,86299.22890841206
2022-01-01,PF - Autônomo,50113797701.229996,1022727470.83,390669,128276.87300817315
2022-01-01,PF - Empregado de empresa privada,305307972424.63,3925944144.19,2801123,108994.84686128743
2022-01-01,PF - Empregado de entidades sem fins lucrativos,871903312.62,10298487.4,7701,113219.49261394625
2022-01-01,PF - Empresário,133815419658.72,1643740315.28,698927,191458.3635468654
2022-01-01,PF - MEI,14665508749.75,281502979.53,146339,100215.99675923711
2022-01-01,PF - Outros,154818436619.18,4730445987.25,1793626,86315.8967472483
2022-01-01,PF - Servidor ou empregado público,138907428037.66,1069259434.45,1146528,121154.85015425703
2022-02-01,PF - Aposentado/pensionista,22784985004.489998,302427427.62,263030,86625.04278785689
2022-02-01,PF - Autônomo,50324651360.909996,1210952421.06,390690,128809.67355425016
2022-02-01,PF - Empregado de empresa privada,307165971462.43,4691953796.57,2804074,109542.74796686179
2022-02-01,PF - Empregado de entidades sem fins lucrativos,876744876.52,12429977.44,7733,113377.06925126082
2022-02-01,PF - Empresário,135210060693.01001,1901668566.4,700606,192990.15522706058
2022-02-01,PF - MEI,14760163834.28,343745363.3,146285,100900.0501369245
2022-02-01,PF - Outros,157038245491.17,5509780493.04,1812934,86621.04935489655
2022-02-01,PF - Servidor ou empregado público,139729233237.29,1246711886.22,1148296,121683.98499802317
2022-03-01,PF - Aposentado/pensionista,22966736696.62,302483632.05,263098,87293.46744034541
2022-03-01,PF - Autônomo,50678138264.36,1194820429.25,391182,129551.30416113215
2022-03-01,PF - Empregado de empresa privada,310238838554.64,4531668393.87,2822984,109897.48385206576
2022-03-01,PF - Empregado de entidades sem fins lucrativos,876546033.59,13355758.78,7722,113512.82486272986
2022-03-01,PF - Empresário,136451761138.78,1822116700.68,701436,194532.0187996909
2022-03-01,PF - MEI,14922426790.45,334365927.74,147147,101411.69572230491
2022-03-01,PF - Outros,157701584031.71,5425174197.37,1810239,87116.44375781872
2022-03-01,PF - Servidor ou empregado público,141051595323.35,1244747978.44,1152246,122414.48034825029
2022-04-01,PF - Aposentado/pensionista,22870056832.22,299771522.37,260730,87715.47897142639
2022-04-01,PF - Autônomo,51159649684.06,1160387000.58,392892,130213.00938695621
2022-04-01,PF - Empregado de empresa privada,312201969321.4,4268080497.48,2827127,110430.82582473304
2022-04-01,PF - Empregado de entidades sem fins lucrativos,893613390.26,11863130.54,7775,114934.19810418006
2022-04-01,PF - Empresário,138109297114.03,1829382281.52,703752,196247.11136029454
2022-04-01,PF - MEI,15087167595.58,316482204.95,147930,101988.55942391671
2022-04-01,PF - Outros,160084158573.23,5088714121.79,1830750,87441.84545854433
2022-04-01,PF - Servidor ou empregado público,141801830389.15,1203798027.45,1153480,122933.93070460693
2022-05-01,PF - Aposentado/pensionista,22730951838.63,271071468.23,257152,88395.00310567292
2022-05-01,PF - Autônomo,51791848226.33,1086485113.76,395355,131000.86814718418
2022-05-01,PF - Empregado de empresa privada,314374325967.32,4089609556.8,2827106,111200.04908458331
2022-05-01,PF - Empregado de entidades sem fins lucrativos,896607867.23,10436038.71,7765,115467.85154282035
2022-05-01,PF - Empresário,140024464618.02,1796878220.09,706691,198141.00450977866
