data_base,renda,carteira_ativa,carteira_inadimplida_arrastada,numero_de_operacoes,ticket_medio
2013-10-01,alta,125262065512.1,1433302211.9,726526,172412.36447436156
2013-10-01,baixa,75762099542.89,1498557578.66,1637545,46265.659595852325
2013-10-01,indisponivel,491306750.56,13778097.54,9797,50148.69353475554
2013-10-01,media,107875321647.57,1898834107.76,1408185,76605.93007848402
2013-11-01,Sem Renda,2846719407.17,40114680.68,27468,103637.6659083297
2013-11-01,alta,126524655814.56,1497419691.13,730342,173240.28443463473
2013-11-01,baixa,79515615108.1,1439296720.56,1669635,47624.54974176991
2013-11-01,indisponivel,482213141.58,14719691.94,9458,50984.68403256502
2013-11-01,media,109124340974.18,1877807914.73,1415499,77092.48892028889
2013-12-01,Sem Renda,3031872315.46,43439282.3,29103,104177.31214857574
2013-12-01,alta,128092481664.62,1445191525.33,732650,174834.47985343615
2013-12-01,baixa,84054144546.38,1234385490.35,1703018,49355.9930349415
2013-12-01,indisponivel,474570061.64,14107715.3,9185,51667.943564507346
2013-12-01,media,110072321607.47,1633972978.53,1416888,77685.9720792822
2014-01-01,Sem Renda,1070382616.09,28595092.98,15349,69736.30960257998
2014-01-01,alta,130542884267.32,1553330476.25,741553,176039.8572554086
2014-01-01,baixa,88080372787.88,1339012165.51,1733531,50809.80541327499
2014-01-01,indisponivel,466432204.61,14160674.64,8959,52062.976293113075
2014-01-01,media,111877305398.7,1766263516.89,1427349,78381.1845587169
2014-02-01,Sem Renda,6856660934.4800005,152375614.14,109290,62738.22796669412
2014-02-01,alta,127449985349.64,1376756618.98,705331,180695.28398672395
2014-02-01,baixa,82371332336.72,1719567281.55,1677438,49105.44075949156
2014-02-01,indisponivel,451955654.44,12941688.34,8644,52285.47598796853
2014-02-01,media,121717805619.34,1914650311.07,1468345,82894.55517561609
2014-03-01,Sem Renda,329292784.06,14569929.42,2893,113823.98342896647
2014-03-01,alta,129013131954.92,1446243555.95,717001,179934.38217648232
2014-03-01,baixa,94057335808.02,1914012866.38,1817781,51742.94142584833
2014-03-01,indisponivel,445944729.97,12242040.09,8308,53676.54429104478
2014-03-01,media,121029807248.22,1901521271.33,1463177,82717.13350347907
2014-04-01,Sem Renda,310375371.15,12729934.370000001,2807,110571.91704666903
2014-04-01,alta,129742625944.05,1586536719.03,717018,180947.51588391088
2014-04-01,baixa,98259736277.07,2212592647.37,1853456,53014.33445254163
2014-04-01,indisponivel,438730988.31,15732071.56,8042,54554.95999875653
2014-04-01,media,122820139381.19,2181222474.39,1473375,83359.72809447018
2014-05-01,Sem Renda,309728883.95,15308370.37,2754,112465.0994734931
2014-05-01,alta,135780491163.79001,1562158271.06,740943,183253.6256686277
2014-05-01,baixa,96726365179.46,2269008493.09,1845660,52407.46680291062
2014-05-01,indisponivel,432986057.85,16463918.0,7753,55847.55034825229
2014-05-01,media,126763534218.38,2072878931.64,1511014,83893.02429916599
2014-06-01,Sem Renda,313562042.48,19711419.69,2709,115748.26226651901
2014-06-01,alta,138490397819.48,1500772655.44,753468,183803.95427474027
2014-06-01,baixa,99724303492.77,1974579889.8899999,1874789,53192.28110084389
2014-06-01,indisponivel,425815397.21,13889108.51,7490,56851.18787850467
2014-06-01,media,128907301727.17,1880861221.23,1528164,84354.36362011539
2014-07-01,Sem Renda,335326131.22,16772393.78,2760,121494.97507971016
2014-07-01,alta,145110879915.42,1623129189.0,789384,183827.99742003894
2014-07-01,baixa,97670803962.75,2011698793.97,1846650,52890.8044094712
2014-07-01,indisponivel,418248959.28,12176525.19,7201,58082.06627968337
2014-07-01,media,132568797130.90001,2021056538.67,1571694,84347.71471476
2014-08-01,Sem Renda,14836651088.64,321044990.77,210546,70467.50395941979
2014-08-01,alta,147611614648.7,1669742147.37,784628,188129.4252164083
2014-08-01,baixa,89674284517.06,1821889259.98,1705873,52567.97224474506
2014-08-01,indisponivel,412003806.45,10799047.01,6981,59017.878018908465
2014-08-01,media,134104249319.34,2040267217.49,1566560,85604.28538922225
2014-09-01,Sem Renda,392115615.3,15942374.879999999,3229,121435.61947971508
2014-09-01,alta,149993415500.75,1508893952.82,789686,189940.57828143085
2014-09-01,baixa,106166466442.22,2203944146.85,1927538,55078.792969176226
2014-09-01,indisponivel,406795194.67,12018008.09,6750,60265.954765925926
2014-09-01,media,135500337478.94,1982708523.92,1571772,86208.64697865848
2014-10-01,Sem Renda,356684686.71999997,14866394.45,3161,112839.1922556153
2014-10-01,alta,152588496831.24,1705950351.99,797833,191253.67944324188
2014-10-01,baixa,110618634704.33,2588978141.96,1965887,56269.070757541
2014-10-01,indisponivel,401467919.41,11465357.44,6520,61574.83426533743
2014-10-01,media,137700740124.89,2333010216.66,1583785,86944.08655523951
2014-11-01,Sem Renda,379984731.01,19286549.44,3337,113870.16212466286
2014-11-01,alta,155074701919.24,1723893004.43,806122,192371.25635975695
2014-11-01,baixa,114738256316.41,2489030744.81,2003181,57278.02745553697
2014-11-01,indisponivel,396731324.12,11087712.67,6352,62457.70215994962
2014-11-01,media,139301738799.28,2245418190.3,1591922,87505.37953447468
2014-12-01,Sem Renda,385309320.45,18586377.94,3330,115708.50463963964
2014-12-01,alta,156802677644.77,1529952315.91,811454,193236.6808774989
2014-12-01,baixa,119715842988.62,2042078553.71,2045604,58523.46934627621
2014-12-01,indisponivel,390781779.82,9269714.94,6153,63510.77195189338
2014-12-01,media,141094304737.79,1870725191.99,1600731,88143.66982196884
2015-01-01,Sem Renda,963018414.34,22895299.71,5496,175221.69110989812
2015-01-01,alta,156119000659.44,1820486237.24,802489,194543.47743014546
2015-01-01,baixa,125051083864.31,2415519534.64,2092808,59752.77419825899
2015-01-01,indisponivel,384425239.22,7425967.8100000005,5973,64360.49543278085
2015-01-01,media,143372413930.31,2183437061.63,1610208,89039.68551287163
2015-02-01,Sem Renda,964684621.97,25191503.52,5517,174856.7377143375
2015-02-01,alta,156592784252.94,2032659574.68,802451,195143.11061104044
2015-02-01,baixa,128442895745.18001,2659039317.1,2124396,60460.90076670263
2015-02-01,indisponivel,380934661.28,7844754.69,5789,65803.18902746588
2015-02-01,media,144450211143.81,2366953239.02,1615332,89424.47196230249
2015-03-01,Sem Renda,878279668.16,24736280.14,5039,174296.42154395714
2015-03-01,alta,157952082684.73,2049841383.69,805719,196038.6719001662
2015-03-01,baixa,133339455704.99,2509841577.11,2165152,61584.33943898165
2015-03-01,indisponivel,377389295.86,7615975.079999999,5628,67055.6673525231
2015-03-01,media,145968023428.08,2227265598.41,1621226,90035.58012768114
2015-04-01,Sem Renda,879466581.85,27570660.07,5118,171837.9409632669
2015-04-01,alta,164453614994.84,2126575835.55,816338,201452.8479561652
2015-04-01,baixa,127264696899.93,2934364034.25,2171106,58617.44976980856
2015-04-01,indisponivel,374230805.72,7328343.4,5476,68340.17635500366
2015-04-01,media,153641653772.21,2401700866.71,1659103,92605.25342441669
2015-05-01,Sem Renda,891889953.5799999,27892883.88,5255,169722.16052901998
2015-05-01,alta,168334131766.74,2238360914.9900002,833747,201900.73459543483
2015-05-01,baixa,126287997384.61,3028277963.4,2169747,58204.01981641638
2015-05-01,indisponivel,371360087.79,7835982.42,5308,69962.33756405427
2015-05-01,media,156183775576.57,2557108514.59,1681568,92879.84522574765
2015-06-01,Sem Renda,935900457.25,29082269.39,5412,172930.60924796748
2015-06-01,alta,169672431423.31,2106248869.89,838158,202434.9006074153
2015-06-01,baixa,129314928447.37,2654715850.2400002,2199929,58781.409967035295
2015-06-01,indisponivel,366797244.07,7022670.02,5161,71070.96378027514
2015-06-01,media,157282192840.24,2270250356.79,1687044,93229.45509437809
2015-07-01,Sem Renda,2451426110.35,32309461.68,21971,111575.53640480633
2015-07-01,alta,164570225641.08,2189865290.34,793898,207293.9163986809
2015-07-01,baixa,139993998305.55,2957423124.43,2347100,59645.519281475004
2015-07-01,indisponivel,364558632.96,5998444.51,5032,72448.05901430843
2015-07-01,media,156041716911.31,2288925830.02,1610747,96875.37329655743
2015-08-01,Sem Renda,1503427626.0,30630442.53,10396,144615.97018083878
2015-08-01,alta,173428622830.84,2370137522.7,854601,202935.19763122205
2015-08-01,baixa,133321591092.17,2797305028.78,2245175,59381.380557047894
2015-08-01,indisponivel,360778094.9,6966252.58,4845,74464.0030753354
2015-08-01,media,160070822820.28,2414832962.37,1721315,92993.33522352387
2015-09-01,Sem Renda,2138733783.32,34085838.21,16564,129119.40251871529
2015-09-01,alta,174042346622.65,2461293085.34,854623,203648.0958535518
2015-09-01,baixa,136263622223.23,2731146970.33,2271470,59989.1797924824
2015-09-01,indisponivel,359086296.99,6269392.850000001,4700,76401.33978510638
2015-09-01,media,160212818242.18,2417172354.25,1717168,93300.60788587954
2015-10-01,Sem Renda,1756942940.8,31422961.130000003,10950,160451.41011872145
2015-10-01,alta,175147958695.09,2819222746.58,858240,204078.06522078905
2015-10-01,baixa,139022669253.04,3260027706.75,2298888,60473.876610361185
2015-10-01,indisponivel,356804473.43,5966096.15,4615,77314.07874972915
2015-10-01,media,161320189361.25,2889246037.57,1724092,93568.20248643924
2015-11-01,Sem Renda,2018424291.93,33712701.78,14348,140676.35154237525
2015-11-01,alta,175504476871.61,2942283928.07,856790,204839.54863106477
2015-11-01,baixa,141818650293.27,3362285357.48,2324548,61009.12964295424
2015-11-01,indisponivel,321765477.78000003,6250758.68,3776,85213.31509004238
2015-11-01,media,161719390455.05,3028576162.78,1723057,93856.08860011595
2015-12-01,Sem Renda,2665815599.44,33096349.61,23884,111615.12307151231
2015-12-01,alta,176414462517.42,2531306951.24,859125,205342.01951685728
2015-12-01,baixa,145428609900.45,3077085490.95,2401338,60561.49109390265
2015-12-01,indisponivel,319332741.24,8406116.55,3680,86775.20142391305
2015-12-01,media,162065402240.06,2766032499.34,1722552,94084.47596360516
2016-01-01,Sem Renda,1484680430.11,31824104.93,10348,143475.10921047544
2016-01-01,alta,172275304276.1,2643163994.19,831160,207270.92771078975
2016-01-01,baixa,150058246113.47,3260394977.85,2468325,60793.55275884253
2016-01-01,indisponivel,316359575.05,8968668.43,3481,90881.80840275783
2016-01-01,media,165545147068.63,2950871799.88,1737666,95268.68055692522
2016-02-01,Sem Renda,3396019981.31,40812976.37,31345,108343.2758433562
2016-02-01,alta,170989574585.97,2839122167.77,825784,207063.31750914283
2016-02-01,baixa,152041918443.08,3382728565.92,2486115,61156.43019051009
2016-02-01,media,166022064688.08,3056909974.19,1735617,95655.9337043138
2016-03-01,Sem Renda,4133494376.34,46036610.5,38313,107887.51536919584
2016-03-01,alta,171193990436.33,2744163525.07,825153,207469.39105393787
2016-03-01,baixa,155033814382.18,3229595196.27,2526434,61364.68017061993
2016-03-01,media,166458243263.87,2938418060.56,1738035,95773.8154087058
2016-04-01,Sem Renda,2851251840.67,49189005.54,34052,83732.28711000823
2016-04-01,alta,158696513953.84,2671042924.4,716259,221563.02951005154
2016-04-01,baixa,165447626963.36,3668625965.77,2768554,59759.58098103197
2016-04-01,media,170402899222.51,2907449246.5099998,1609219,105891.67740531899
2016-05-01,Sem Renda,3410112595.95,46276602.09,39224,86939.44003543748
2016-05-01,alta,158764724274.6,2661019595.32,716915,221455.43652260033
2016-05-01,baixa,168451438722.24,3655492407.06,2796706,60232.0868629881
2016-05-01,media,170172782339.28,2919749573.95,1605207,106012.9829606275
