data_base,regime,carteira_ativa,carteira_inadimplida_arrastada,numero_de_operacoes,ticket_medio
2013-09-01,Setor_Publico,48422873042.39,393374795.71,509357,95066.66845138086
2013-09-01,outro,144160648660.9,2703325751.5,2085293,69132.08295472147
2013-10-01,Aposentado,4164756806.36,55797702.019999996,65200,63876.63813435583
2013-10-01,Empresa_Privada,69265898780.69,856689124.66,778491,88974.56589824417
2013-10-01,Empresario,41183152950.32,674894950.7,326234,126238.07742393497
2013-10-01,Setor_Publico,48930403346.97,434350008.76,511835,95598.00198690985
2013-10-01,outro,147303744227.61,2854719724.48,2118723,69524.77706033776
2013-11-01,Aposentado,4219415093.42,55402213.47,65372,64544.68416783944
2013-11-01,Empresa_Privada,70758058899.86,864903967.59,785733,90053.5664148763
2013-11-01,Empresario,42171323547.450005,682342724.96,330279,127683.9385714805
2013-11-01,Setor_Publico,49903418075.53,427596741.54,516798,96562.71517213689
2013-11-01,outro,151441328829.33,2839113051.48,2154220,70299.84348364141
2013-12-01,Aposentado,4248075846.5,54946442.95,65083,65271.666126330994
2013-12-01,Empresa_Privada,71849459224.98,757641616.02,788456,91126.7835173808
2013-12-01,Empresario,43163585321.72,651761030.74,333159,129558.51506854084
2013-12-01,Setor_Publico,50795787297.08,383644445.46,519559,97767.12037916773
2013-12-01,outro,155668482505.29,2523103456.64,2184587,71257.62558565532
2014-01-01,Aposentado,4272401129.17,49865839.11,64424,66316.91806112629
2014-01-01,Empresa_Privada,72907455495.77,791818718.17,791865,92070.56189599237
2014-01-01,Empresario,43953470903.83,711288666.54,335883,130859.46863589405
2014-01-01,Setor_Publico,51565771029.11,396800815.49,522130,98760.40646794859
2014-01-01,outro,159338278716.72,2751587886.96,2212439,72019.28673139463
2014-02-01,Aposentado,4304289860.46,51351269.61,64396,66840.95068730977
2014-02-01,Empresa_Privada,74070407395.64,863057797.98,795130,93155.09086016123
2014-02-01,Empresario,44751488562.8,754405505.17,338321,132275.23140094764
2014-02-01,Setor_Publico,52324679827.57,417542194.64,524936,99678.20806264001
2014-02-01,outro,163396874248.15,3089934746.68,2246265,72741.58402866535
2014-03-01,Aposentado,4322838539.11,52534379.67,64368,67158.19256633731
